,0
0,89.11137885685575
1,254.04330598145535
2,1221.4193094551608
3,2534.390230040214
4,-6040.500835786297
5,-416.15820004640796
6,-444.1162259982867
7,-528.3809531580572
8,595.5127688691879
9,8220.43656920486
10,469.6237720577143
11,3619.0833336679125
12,-213.97805277106244
13,-763.3951130812759
14,1078.2481295798439
15,-771.7925183593417
16,2581.70537771175
17,-4.526432768440557
18,1175.2676542770607
19,-1097.6035279523467
20,-3646.0152600329693
21,-25589.136125690373
22,-3623.184928875733
23,-3465.2796238555984
24,-90.53317274637428
25,-1087.579973678628
26,319.5497602269304
27,1031.6865123481095
28,1403.0894182239372
29,35.324393563903186
30,136.80024656718035
31,3222.883989148694
32,-407.29653741193135
33,379.0214893749624
34,2154.995398397753
35,948.7582466462067
36,-11885.295185511515
37,-7835.515758827077
38,2492.2354549208007
39,-1453.5104455254414
40,385.86217995964586
41,-1256.7040108749452
42,694.7981846929184
43,764.4940283963956
44,-140.31292772908208
45,-2599.5934764439144
46,-10301.975038484581
47,415780.0230032797
48,13929.329882272334
49,-2965.100623472221
50,-36139.56094818135
51,133886.38459282348
52,-16549.6699539167
53,4516.117927256402
54,-585111.4179618675
55,29283.474376822523
56,-11934.807905721154
57,-23215.704406500696
58,-2502.9424160347835
59,-24100.01443859272
60,-67975.75782440465
61,7951.692802886631
62,896.9674683695288
63,-4263.135721254391
64,-5287.5302728502
65,3225.514555979011
66,-74091.81276132521
67,2510.8570842501
68,-26243.507858749337
69,-11876.01593514103
70,-64974.899560853984
71,4327.644855526607
72,-14739.546636441193
73,3378.0130425921975
74,-3039.7990363201766
75,-13957.28984508885
76,-15681.862576029653
77,-1921.0705843130318
78,-5484.413328042065
79,-4500.246995145694
80,-117.22026814508291
81,-5009.647435992528
82,-6030.833622940393
83,-7200.584772278377
84,3145.5881477030275
85,9618.225597468429
86,2212.9167319104536
87,2555.1265339207353
88,29124.51692931725
89,-28969.61486015509
90,-15341.072224566036
91,121.51515755768393
92,-2398.6589791846563
93,3185.3024048906336
94,-1438.1554319068246
95,1136.7416151266334
96,1322.7571125406055
97,-1453.3510398506162
98,-1002.8755131956846
99,3758.984243477165
100,-781.7074775925284
101,-5155.604531910242
102,416.9125715147882
103,-366.4261380910104
104,3157.94650722316
105,2039.6917286482687
106,-5331.757537245363
107,525.0302071402466
108,663.8531751951223
109,1582.334548936819
110,3244.6888765476638
111,-255.48527340220215
112,136.70277076391199
113,71.93151798094937
114,418.26721389856107
115,-1807.2353956883244
116,-5191.319849158641
117,632.5281636032388
118,9560.647232840945
119,1108.9573646950257
120,6618.514358045418
121,73.32338908123813
122,9220.756395492324
123,-3101.9354391380807
124,1958.954198491104
125,-894.7109875822393
126,-18728.368806660783
127,-38576.4288712636
128,-1218.401204274081
129,3407.334242459837
130,-2007.8139478088083
131,12834.030408971614
132,4079.5947590868373
133,-1076.032351108997
134,1852.8431284735505
135,1412.5482580787652
136,-3418.3317166889174
137,-2288.5470106544776
138,2907.0843229811685
139,10550.955458862762
140,8396.908496059952
141,3094.3640990864437
142,2307.1638146178475
143,-6651.657374412301
144,8348.51990120029
145,21283.889622078943
146,14722.596505896312
147,-188.6574009784391
148,412.80235647033214
149,38717.99357367776
150,-686.0983527850447
151,-552.761224221223
152,573.2145579976839
153,-402.265014548189
154,182.61453423632642
155,1477.034123032273
156,-930.2952702049827
157,-8263.283459120623
158,-4608.057752464104
159,409.51244224824956
160,-242.8287263935884
161,-810.5581833204207
162,2657.3268731139838
163,562.2291434134879
164,-932.9603337865674
165,-1388.9303674509754
166,-1296.7663929853143
167,768.654213706957
168,2342.9008363948533
169,-2667.56075229191
170,876.0382952615923
171,973.7743740176177
172,2253.833272471284
173,853.9268265516516
174,86.12216039618372
175,1277.7090989663739
176,971.4667056579682
177,-3152.3372705522092
178,122.21547958855524
179,15.502541272429653
180,231.69767109695783
181,-746.1731955374726
182,246.1748104709539
183,123.79491366785355
184,-401.91136371222217
185,343.77546413775826
186,-894.4088873029614
187,-679.0180487806089
188,1073.2786937103315
189,47.44643491055297
190,3256.362513845067
191,-704.2107482531997
192,-298.4071582376694
193,732.4764798992636
194,140.54795859756828
195,568.4017073386233
196,-1477.3605849198245
197,322.10287343284597
198,-194.1136746602466
199,-16115.21226327287
200,1284.288358641434
201,120.13478375230422
202,2350.1922733762863
